D:\Veilpay\apps\consumer-app\src\components\BiometricPrompt.tsx: line 26, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\BiometricPrompt.tsx: line 191, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\BootSplash.tsx: line 19, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\BootSplash.tsx: line 65, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\BootSplash.tsx: line 65, col 35, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\BottomNavBar.tsx: line 47, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\BottomNavBar.tsx: line 114, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\CommitmentSaveBanner.tsx: line 71, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\EmptyState.tsx: line 14, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\EmptyState.tsx: line 42, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\ErrorBoundary.tsx: line 194, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\FeatureCard.tsx: line 13, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\FeatureCard.tsx: line 31, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\FiatGatewayModal.tsx: line 15, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\FiatGatewayModal.tsx: line 98, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\FiatGatewayWebViewShell.tsx: line 62, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\HybridInput.tsx: line 13, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\HybridInput.tsx: line 59, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\HybridInput.tsx: line 59, col 35, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\Icon.tsx: line 444, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\Icon.tsx: line 470, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\Icon.tsx: line 470, col 35, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\Logo.tsx: line 25, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\Logo.tsx: line 109, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\NetworkIcons.tsx: line 48, col 1, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\NetworkIcons.tsx: line 49, col 50, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\NetworkIcons.tsx: line 84, col 50, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\NetworkSelectorModal.tsx: line 19, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\NetworkSelectorModal.tsx: line 152, col 1, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\NetworkSelectorModal.tsx: line 152, col 67, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\NetworkSelectorModal.tsx: line 153, col 34, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\NetworkSelectorModal.tsx: line 153, col 39, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\NetworkSelectorModal.tsx: line 180, col 16, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\NetworkSelectorModal.tsx: line 217, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
